通し番号,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,教科書参照箇所
1,データを目的に応じて整理し、価値を付加したものを何というか。,データ,情報,知識,知恵,2,事実や事柄を数字や文字で表した生の「データ」を目的に応じて整理したものが「情報」です。情報を分析・蓄積したものが「知識」であり、それを活用する力が「知恵」です。,01 情報と情報社会
2,有名人の氏名や肖像が持つ顧客吸引力を独占的に利用できる権利を何というか。,著作権,パブリシティ権,肖像権,商標権,2,有名人の名前や写真を無断で商品化したり宣伝に使用したりできないように保護する権利は「パブリシティ権」です。「著作権」は創作的な表現を保護し、「肖像権」はみだりに撮影・公表されない権利、「商標権」は商品やサービスのマークを保護する産業財産権です。,05 知的財産権の概要と産業財産権
3,不正アクセス禁止法で禁止されている「なりすまし」の行為として最も適当なものはどれか。,他人のIDやパスワードを無断で入力してログインする行為,プログラムの欠陥を突いてコンピュータに侵入する行為,偽のWebサイトに誘導して暗証番号を入力させる行為,コンピュータウイルスを作成してばらまく行為,1,他人の識別符号（IDやパスワード）を不正に入力して利用できる状態にする行為を「なりすまし」といいます。②はセキュリティホール攻撃、③はフィッシング、④はマルウェア作成に関する行為です。,03 法規による安全対策
4,送信者と受信者が異なる鍵を使い、インターネット上の暗号通信などに用いられる方式はどれか。,共通鍵暗号方式,公開鍵暗号方式,シーザー暗号,生体認証方式,2,暗号化には公開鍵、復号には秘密鍵というように、異なる鍵のペアを使用する方式を「公開鍵暗号方式」といいます。「共通鍵暗号方式」は送受信で同じ鍵を使い、「シーザー暗号」は文字をずらす古典的な暗号、「生体認証方式」は指紋などで本人確認を行う仕組みです。,26 安全のための情報技術
5,服のサイズや5段階の成績評価など、大小関係には意味があるが間隔が等しいとは限らない尺度はどれか。,名義尺度,順序尺度,間隔尺度,比例尺度,2,大小関係や順位に意味がある尺度が「順序尺度」です。「名義尺度」は血液型など区別するための尺度、「間隔尺度」は気温など間隔に意味がある尺度、「比例尺度」は身長や質量など絶対零点（無）を持ち比率に意味がある尺度です。,29 統計量とデータの尺度
6,気温のように、等間隔であることに意味はあるが、絶対的なゼロ（無）を持たない尺度はどれか。,名義尺度,順序尺度,間隔尺度,比例尺度,3,「間隔尺度」は値の差（間隔）に意味がある尺度です。絶対的なゼロ（無）を持ち比率に意味があるものは「比例尺度」、大小関係のみに意味があるのが「順序尺度」、区別のみの目的が「名義尺度」です。,29 統計量とデータの尺度
7,表計算ソフトウェアにおいて、数式をコピーしても参照先のセルA1がずれないようにする絶対参照の正しい記述はどれか。,A1,#A#1,$A$1,&A&1,3,列番号と行番号の前に「$」記号をつけることで、セルを固定する絶対参照（$A$1）になります。「A1」は相対参照といい、コピーすると参照先がずれていきます。,28 ソフトウェアを利用したデータの処理
8,現実の複雑な事象から本質的な部分だけを残して単純化・抽象化することを何というか。,シミュレーション,モデル化,アルゴリズム,フローチャート,2,問題解決のために不要な要素を省き、重要な要素間の関係性を数式や図で表すことを「モデル化」といいます。「シミュレーション」はモデルを使って模擬動作させること、「アルゴリズム」は解決手順、「フローチャート」はその手順の図解です。,33 モデル化とシミュレーション
9,ユニバーサルデザインの原則「誰にでも公平に使えること」に該当する例はどれか。,段差のない歩道や自動ドア,外国語のみで書かれた標識,階段のみで構成された入り口,複雑な操作が必要な機器,1,車いすやベビーカーを利用する人を含め、誰でも公平に利用できる設計の代表例が段差のない歩道です。他の選択肢は特定の人しか使えないため不適当です。,01 情報と情報社会
10,メディアの特性のうち、電話やビデオ会議のように双方が同時に発信と受信を行う形態を何というか。,同期型,非同期型,蓄積型,一方向型,1,発信と受信が同時に行われるコミュニケーション形態を「同期型」といいます。「非同期型」は電子メールのように異なる時間でやり取りする形態です。「一方向型」はテレビやラジオなどの発信を指します。,07 コミュニケーションとメディア
11,非常口のマークなど、情報を抽象化して単純な構図と明瞭な色で表された視覚記号を何というか。,ピクトグラム,アイコン,ロゴマーク,インフォグラフィック,1,言葉の壁を越えて誰にでも直感的に意味が伝わるようにデザインされた図記号を「ピクトグラム」といいます。「アイコン」はコンピュータ画面上の機能記号、「ロゴマーク」は企業などのシンボル、「インフォグラフィック」はデータや情報を視覚的にまとめたものです。,02章 章末問題
12,コンビニなどのレジで導入されているPOSシステムの目的として最も適当なものはどれか。,売れ筋商品の把握や在庫管理の効率化,仕入れ資金の自動調達,従業員の採用と配置,顧客の個人情報の無断収集,1,POS（販売時点情報管理）システムは、いつ・何が・いくつ売れたかを集計し、在庫管理やマーケティングに活用するシステムです。資金調達や採用などはシステムの直接の目的ではありません。,22 情報システム
13,音や画像をデジタル化する際、「標本化」「量子化」に続いて行われ、数値を0と1のデータにする手順を何というか。,暗号化,符号化,圧縮化,復号化,2,量子化によって得られた数値を、コンピュータが扱えるように2進数の「0と1」の組み合わせに変換する作業を「符号化」といいます。「暗号化」はデータを読めなくすること、「圧縮化」はデータ量を減らすこと、「復号化」は暗号を元に戻すことです。,13 音の表現
14,10進数の「13」を2進数で表すとどれになるか。,1100,1101,1011,1111,2,13を2で割り続けると、商が6余り1、商が3余り0、商が1余り1となります。下から余りを並べると「1101」になります。,12 数値と文字の表現
15,コンピュータ内で無限に続く小数を扱う際、途中の桁で四捨五入や切り捨てをすることによって生じる誤差を何というか。,桁落ち誤差,情報落ち誤差,丸め誤差,打ち切り誤差,3,定められた有限の桁数に収めるために、端数処理を行うことで生じる誤差を「丸め誤差」といいます。「桁落ち誤差」は値の近い引き算で生じる誤差、「情報落ち誤差」は大小の差が大きい加減算で生じる誤差、「打ち切り誤差」は無限の計算を途中で打ち切ることで生じる誤差です。,13 演算の仕組み
16,論理回路において、二つの入力が共に「1」のときのみ出力が「1」となる回路はどれか。,AND回路,OR回路,NOT回路,NAND回路,1,「AND回路（論理積回路）」はすべての入力が1のときにだけ1を出力します。「OR回路（論理和回路）」は少なくとも1つが1なら1を出力、「NOT回路」は入力を反転、「NAND回路」はANDの逆を出力します。,13 演算の仕組み
17,1桁の2進数同士の加算を行い、その和と桁上がりを出力する論理回路を何というか。,全加算回路,半加算回路,AND回路,NOT回路,2,下位からの桁上がりを考慮せずに2つの入力を加算する回路を「半加算回路」といいます。「全加算回路」は下位からの桁上がりも含めて3つの入力を加算する回路です。,13 演算の仕組み
18,人間の可聴域の上限である約20000Hzの音をデジタル化して再現するためには、標本化定理によると最低でも約何Hzの標本化周波数が必要か。,10000Hz,20000Hz,40000Hz,80000Hz,3,標本化定理により、元のアナログ波形を再現するには含まれる最大周波数の「2倍より大きい」標本化周波数が必要です。したがって20000Hzの2倍である約40000Hzとなります。,13 音の表現
19,画像のデジタル化において、1画素あたりの色や明るさを表現する細かさの段階数を何というか。,解像度,階調,フレームレート,画素数,2,色の濃淡や明暗を何段階で表現できるかを示す言葉を「階調」といいます。「解像度」は画像の細かさ（ピクセル数）、「フレームレート」は動画の1秒あたりの静止画の数です。,15 画像の表現
20,ディスプレイなどで色を表現する際、赤(R)・緑(G)・青(B)の光を混ぜて色を作る方法を何というか。,減法混色,加法混色,階調表現,補色表現,2,光の三原色を混ぜると明るさが増して白に近づきます。これを「加法混色」といいます。一方、プリンタのインク（CMY）のように混ぜるほど黒に近づく方法を「減法混色」といいます。,15 画像の表現
21,連続する同一のデータ（例：AAAAA）を、「データ×連続する回数（例：A5）」として記録する圧縮方式はどれか。,ハフマン符号化,ランレングス圧縮,非可逆圧縮,LZ圧縮,2,同じデータが何個並んでいるかを数えて記録することでデータを圧縮する方式を「ランレングス圧縮」といいます。「ハフマン符号化」は出現頻度に応じて短い符号を割り当てる方式です。「非可逆圧縮」は多少のデータ劣化を伴う圧縮方式全体を指します。,18 データの圧縮と効率化
22,出現頻度の高いデータには短い符号を、低いデータには長い符号を割り当てることで全体のデータ量を減らす圧縮方式はどれか。,ランレングス圧縮,ハフマン符号化,JPEG圧縮,LZ圧縮,2,データの出現頻度の偏りを利用して圧縮効率を高める方式を「ハフマン符号化」といいます。「ランレングス圧縮」は連続回数を記録する方式、「JPEG圧縮」は写真などに用いられる非可逆圧縮方式です。,18 データの圧縮と効率化
23,動画を構成する1枚1枚の静止画像のことを何というか。,フレーム,ピクセル,パレット,解像度,1,動画は静止画を連続的に表示したものであり、その1枚ずつの静止画を「フレーム」といいます。「ピクセル」は画像を構成する点（画素）、「解像度」はその画素の密度のことです。,14 画像の表現
24,画像の形式のうち、画素（点）の集まりとして表現し、拡大するとギザギザ（ジャギー）が生じる形式を何というか。,ベクタ形式,ラスタ形式,テキスト形式,アナログ形式,2,写真を扱う際によく用いられる、色のついた点の集合で構成された画像形式を「ラスタ形式（ビットマップ形式）」といいます。「ベクタ形式」は座標や数式で表現するため拡大しても滑らかさが保たれる形式です。,15 画像の表現
25,圧縮前と伸張後のデータが完全に同一になる圧縮方式を何というか。,非可逆圧縮,可逆圧縮,ZIP圧縮,JPEG圧縮,2,文書やプログラムなど、完全に元に戻せる圧縮方式を「可逆圧縮」といいます。「非可逆圧縮」はデータの一部を削るため完全には元に戻せません。ZIPは可逆圧縮のファイル形式、JPEGは非可逆圧縮の画像形式です。,18 データの圧縮と効率化
26,プログラミングにおける「変数」の役割として最も適当なものはどれか。,プログラムを強制終了させる,データを一時的に記憶しておく箱,繰り返し処理を指示する,画面に文字を表示する,2,変数は、プログラム実行中に計算結果や入力された数値・文字列などのデータを一時的に記憶しておく「箱」のような役割を持ちます。,37 プログラミングの基本
