1,データ・情報・知識の説明として最も不適当なものを選びなさい。,事実や事柄を数字や文字で表したものをデータという。,データを分析し問題解決に役立つように蓄積したものを知識という。,データを目的に応じて整理し価値を付加したものを情報という。,情報をさらに加工して得られる生の数値を知識という。,4,事象を数字などで表した生の状態が「データ」であり、データを目的のために整理したものが「情報」、情報を分析・蓄積して得られるものが「知識」です。情報をさらに加工して得られる生の数値を知識とする説明は不適当です。,01 情報と情報社会
2,情報の特性のうち情報が一度流出すると完全に消去することが難しい性質を何というか。,残存性,複製性,伝播性,公共性,1,情報が一度ネットワークに流出すると完全に消去することが困難な性質は「残存性」です。他に、簡単にコピーできる「複製性」、短時間に広く伝わる「伝播性」があります。「公共性」は情報の特性を表す用語ではありません。,01 情報と情報社会
3,有名人の名前や肖像を無断で商品化したり宣伝に使用したりできないようにする権利を何というか。,肖像権,パブリシティ権,プライバシー権,商標権,2,有名人の氏名や肖像が持つ顧客吸引力を独占的に利用できる権利は「パブリシティ権」です。「肖像権」は自らの肖像を許可なく撮影・利用されない権利、「プライバシー権」は私生活上の個人的な情報を公開されない権利、「商標権」は商品やサービスのマークを保護する権利です。,04 個人情報とその扱い
4,著作権（財産権）のうちWebページに写真を掲載・公開する行為に最も関係が深い権利はどれか。,頒布権,展示権,公衆送信権,複製権,3,著作物をWebページに掲載しインターネットを通じて不特定多数に送信する権利は「公衆送信権」です。「頒布権」は映画の著作物を譲渡・貸与する権利、「展示権」は美術の著作物等を公に展示する権利、「複製権」は印刷・録音等で有形的に複製する権利です。,06 著作権
5,産業財産権のうち「物品の形状・構造または組み合わせに係る考案」を保護する権利はどれか。,特許権,実用新案権,意匠権,商標権,2,産業財産権のうち物品の形状や構造などの「考案」を保護対象とする権利は「実用新案権」です。「特許権」は高度な発明、「意匠権」は視覚的なデザイン、「商標権」は商品やサービスのマークを保護します。,05 知的財産権の概要と産業財産権
6,不正アクセス禁止法で禁止されている行為のうち他人のIDやパスワードを無断で入力してログインする行為を何というか。,セキュリティホール攻撃,なりすまし,不正取得,フィッシング,2,他人のIDやパスワードを不正に入力してログインする行為は「なりすまし」です。「セキュリティホール攻撃」はプログラムの欠陥を突いて侵入する行為、「不正取得」は他人のID等を不正に入手する行為、「フィッシング」は偽サイトに誘導して暗証番号などを盗み取る詐欺行為です。,03 法規による安全対策
7,POSシステムを導入することによるメリットとして不適当なものはどれか。,在庫管理のスピード向上,売れ筋商品の把握,仕入れ資金の自動調達,天候と売上の関連分析,3,POSシステムは売れ筋の把握や在庫管理スピードの向上、天候との関連分析などに貢献しますが、仕入れ資金の自動調達はシステムの業務範囲外です。,22 情報システム
8,デジタル署名において送信者が「本人のものである証明」のために要約文（ハッシュ値）を暗号化する際に用いる鍵はどれか。,送信者の公開鍵,送信者の秘密鍵,受信者の公開鍵,受信者の秘密鍵,2,デジタル署名では、送信者本人の「秘密鍵」でハッシュ値を暗号化し、受信者が送信者の「公開鍵」で復号することによって本人確認を行います。,26 安全のための情報技術
9,データの尺度のうち「5段階の成績評価」や「服のサイズ」が該当するものはどれか。,名義尺度,順序尺度,間隔尺度,比例尺度,2,5段階評価や服のサイズは、大小関係に意味はあるが間隔が等しいとは限らない「順序尺度」です。「名義尺度」は区別するための尺度（血液型など）、「間隔尺度」は間隔に意味がある尺度（気温など）、「比例尺度」は比率に意味がある絶対零点を持つ尺度（距離や年収など）です。,27 統計量とデータの尺度
10,正規分布のグラフにおいて平均値と中央値の関係として正しいものはどれか。,平均値と中央値は一致する。,平均値の方が必ず高い。,中央値の方が必ず高い。,両者に相関はない。,1,左右対称なベル型の分布である正規分布では、平均値・中央値・最頻値の3つがすべて一致します。,30 データの分布と検定の考え方
11,エクセルで「点数が80点以上なら合格、そうでなければ不合格」と表示するための正しい式はどれか。,"=IF(A2>80,""合格"",""不合格"")","=IF(A2>=80,""合格"",""不合格"")","=IF(A2=80,""合格"",""不合格"")","=IF(A2<=80,""合格"",""不合格"")",2,"「80点以上」を表現するには、比較演算子の >=（以上）を用います。したがって =IF(A2>=80,""合格"",""不合格"") が正解です。",28 ソフトウェアを利用したデータの処理
12,モデル化の説明として最も適当なものを選びなさい。,現実の問題のすべての要素をそのまま再現すること。,問題の本質的な部分だけを残して単純化・抽象化すること。,実際と同じ条件で実験を行うこと。,コンピュータを使わずに手作業で計算すること。,2,現実の複雑な事象から問題解決に重要な要素だけを取り出し、単純化・抽象化することをモデル化といいます。,33 モデル化とシミュレーション
13,ユニバーサルデザインの7原則のうち「誰にでも公平に使えること」を指す例はどれか。,複雑な操作が必要なドア,段差のない歩道,外国語のみの標識,特定の身長の人だけが届く手すり,2,ユニバーサルデザインの7原則のうち、「誰にでも公平に使えること（公平性）」の具体例として、車いすやベビーカーでも利用できる段差のない歩道や自動ドアが該当します。,01 情報と情報社会
14,メディアの特性のうち電話やビデオ会議のように発信と受信を同時に行う形態を何というか。,同期型,非同期型,蓄積型,一方向型,1,電話やビデオ会議のように、発信と受信が同時に行われる形態を「同期型」といいます。「非同期型」はメールのように異なる時間でやり取りする形態です。「蓄積型」や「一方向型」は同期性の分類とは異なります。,07 コミュニケーションとメディア
15,10進数の「42」を16進数で表すといくつになるか。,24,2A,52,2C,2,10進数の42を16で割ると「2あまり10」となります。16進数で10は「A」と表すため、「2A」となります。,12 数値と文字の表現
16,コンピュータにおいて数値を「符号部」「指数部」「仮数部」に分けて表現する方式を何というか。,固定小数点数,浮動小数点数,2の補数,16進数,2,数値を「符号部・指数部・仮数部」に分けて、極めて大きい数や小さい数を表現する方式は「浮動小数点数」です。「固定小数点数」は小数点の位置を固定して表現する方式、「2の補数」は負の数を表現する方式、「16進数」は0〜9とA〜Fを用いた数値表現です。,13 演算の仕組み
17,コンピュータ内部で「0.1」を正確に表現できず無限に続く小数になることから生じる誤差を何というか。,桁落ち誤差,丸め誤差,打切り誤差,情報落ち誤差,2,コンピュータの表現可能な桁数を超え、「0.1」のような無限小数を途中で切り捨てる際に生じる誤差を「丸め誤差」といいます。「桁落ち誤差」は絶対値がほぼ等しい値の引き算で有効数字が減る誤差、「打切り誤差」は無限の計算を途中で打ち切る誤差、「情報落ち誤差」は絶対値が大きく異なる数の加減算で小さい数が無視される誤差です。,13 演算の仕組み
18,論理回路において入力AとBが共に「1」のときだけ出力が「1」になる回路はどれか。,AND回路,OR回路,NOT回路,NAND回路,1,入力AとBが両方とも1（真）のときのみ出力が1になる論理回路は「AND回路（論理積）」です。「OR回路（論理和）」はどちらかが1なら1、「NOT回路（論理否定）」は入力を反転させ、「NAND回路」はANDの逆を出力します。,13 演算の仕組み
19,音のデジタル化の手順として正しい順序はどれか。,量子化→標本化→符号化,標本化→符号化→量子化,標本化→量子化→符号化,符号化→標本化→量子化,3,アナログの音情報をデジタル化する標準的な手順は、一定間隔で分割する「標本化」、目盛りの値に近似する「量子化」、0と1のデータにする「符号化」の順（標本化→量子化→符号化）です。,14 音の表現
20,画像のデジタル化において1ピクセルあたりの色の細かさを表す言葉はどれか。,解像度,階調,サンプリング,ビットレート,2,1画素（ピクセル）の中で表現できる色の細かさや明るさの段階を「階調」といいます。「解像度」は画素の細かさ、「サンプリング（標本化）」はデータを一定間隔で取り出すこと、「ビットレート」は通信速度などを表します。,15 画像の表現
21,画像を拡大した際に輪郭が階段状にギザギザになる現象を何というか。,ジャギー,ポリゴン,ベクタ,フィルタリング,1,ビットマップ画像を拡大したときに生じる、輪郭のギザギザした階段状の現象を「ジャギー」といいます。「ポリゴン」は3DCGで用いる多角形、「ベクタ」は座標や数式で図形を表現する形式、「フィルタリング」は有害な情報を選別する技術です。,15 画像の表現
22,「同じデータが何個並んでいるか」を数えて記録する圧縮方式を何というか。,ハフマン符号化,ランレングス圧縮,ZIP圧縮,MPEG圧縮,2,同じデータが連続する回数を数えて記録する圧縮方式は「ランレングス圧縮」です。「ハフマン符号化」は出現頻度の高いデータに短い符号を割り当てる方式です。「ZIP圧縮」や「MPEG圧縮」は代表的な圧縮のファイル形式や規格名です。,18 データの圧縮と効率化
23,インターネット上で機器を識別するための「住所」に相当する番号を何というか。,MACアドレス,IPアドレス,ドメイン名,URL,2,ネットワーク上のコンピュータを識別するために割り振られた固有の番号は「IPアドレス」です。「MACアドレス」は機器固有の物理アドレス、「ドメイン名」は人間が理解しやすいネットワーク上の名前、「URL」はWebページの場所を示す記述です。,20 インターネットの仕組み
24,ドメイン名とIPアドレスを対応づける仕組みを何というか。,DNS,SMTP,POP,HTTP,1,ドメイン名とIPアドレスを対応づけて相互変換する仕組みは「DNS」です。「SMTP」はメール送信プロトコル、「POP」はメール受信プロトコル、「HTTP」はWebページの通信プロトコルです。,20 インターネットの仕組み
25,メールの送信に用いられるプロトコルはどれか。,POP,IMAP,SMTP,HTTP,3,メールを送信・転送する際に使用されるプロトコルは「SMTP」です。受信には「POP」や「IMAP」が用いられ、「HTTP」はWebページを閲覧するためのプロトコルです。,21 Webページの閲覧とメールの送受信
26,アルゴリズムの定義として最も適当なものを選びなさい。,プログラミング言語の種類のこと。,問題を解決するための具体的な手順のこと。,コンピュータのハードウェアの構成。,インターネットの通信規約。,2,アルゴリズムとは、プログラミング言語に依存しない、問題を解決するための具体的な処理手順や計算方法を指します。,36 アルゴリズムとプログラミング
27,プログラミングにおいて変数が格納するデータの種類を識別する仕組みを何というか。,型（データ型）,クラス,関数,配列,1,整数や文字列など、変数がどのような形式のデータを扱うかを定義するものを「型（データ型）」といいます。「クラス」はオブジェクト指向における設計図、「関数」は特定の処理をまとめたもの、「配列」は複数のデータをまとめて管理する仕組みです。,37 プログラミングの基本
28,Pythonコード「for i in range(5):」において変数iはいくつからいくつまで変化するか。,1から5,0から4,0から5,1から4,2,"Pythonの range(5) は、0から始まり5を含まないため（0, 1, 2, 3, 4）、合計5回、0から4まで変化します。",37 プログラミングの基本
29,条件によって処理を分ける制御構造を何というか。,順次構造,選択（分岐）構造,反復（繰り返し）構造,再帰構造,2,条件（もし〜なら）によって実行する処理を切り替える制御構造は「選択（分岐）構造」です。「順次構造」は上から順番に処理する構造、「反復（繰り返し）構造」は同じ処理を繰り返す構造、「再帰構造」は関数が自分自身を呼び出す構造です。,37 プログラミングの基本
30,同じデータ型の複数の値を一つの名前でまとめて管理する仕組みを何というか。,変数,配列,関数,引数,2,複数のデータを一つの名前でまとめて管理し、添字（インデックス）で要素を特定する仕組みを「配列」といいます。「変数」はデータを一時的に記憶する箱、「関数」は処理をまとめたもの、「引数」は関数に渡す値です。,38 配列
31,配列「Data ＝ ［10、20、30］」があるとき Data［1］ の値はどれか。,10,20,30,エラー,2,配列（リスト）の最初の要素は0番目とするため、添字（インデックス）は「0」から始まります。したがって Data［1］ は2番目の要素である「20」を指します。,38 配列
32,2次元配列において最初の添字が表すのは一般的にどれか。,列（横の並び）,行（縦の並び）,値の合計,要素の個数,2,2次元配列において、最初の添字は「行（縦の並び）」、二番目の添字は「列（横の並び）」を表すのが一般的です。,38 配列
33,関数を呼び出す際に関数に渡す値を何というか。,戻り値,引数,代入値,定数,2,関数を呼び出す際、処理に必要な情報を関数に渡すための値を「引数（ひきすう）」といいます。「戻り値」は関数から返される値、「定数」は変化しない値です。,39 関数
